# 书架书序与灯带映射
# 基准: 电磁场 366页≈1.6cm, 加缝隙/封面 ≈1.8-2cm
# 上层合计约 22-23cm, 下层合计约 9-10cm, 书靠右
# LED: 1灯≈1cm, 书架40cm, 灯带从右往左数(0=最右)

层,序,书名,页数,厚度cm,LED数,LED位(右起)
上,1,fsf3,211,1.1,1,23
上,2,fsf4,211,1.1,1,22
上,3,马原,360,1.9,2,20-21
上,4,复变,169,0.9,1,19
上,5,标日上,402,2.1,2,17-18
上,6,标日下,404,2.1,2,15-16
上,7,工科数分下,330,1.7,2,13-14
上,8,数电,469,2.5,2-3,11-12
上,9,信息论,462,2.4,2,9-10
上,10,概统,412,2.2,2,7-8
上,11,dsp,485,2.5,2-3,5-6
上,12,电磁场,366,1.9,2,3-4
下,1,线代,358,1.9,2,9-10
下,2,大物4,248,1.3,1,8
下,3,大物3,351,1.8,2,6-7
下,4,模电,382,2.0,2,4-5
下,5,通信原理,465,2.4,2,1-3

# 上层: 书占右23cm(LED 0-22), 左空~17cm
# 下层: 书占右~9cm(LED 0-9), 左空~31cm
# 缝隙系数: 页数÷229×1.2 ≈ 实际占位cm
